store_name,city,zip_code,store_location,county,category_name,vendor_name,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,year,month,day,day_of_week
west side spirits,corning,50841,POINT (-94.74369200000001 40.990378),adams,decanters & specialty packages,diageo americas,crown royal w/2 glasses,4,1750,31.99,47.99,4,191.96,7.0,1.85,2015,10,6,1
hometown market,central city,52214,POINT (-91.530478 42.199296),linn,american vodka,luxco inc,hawkeye vodka,12,1000,4.05,6.08,4,6.08,4.0,1.05,2016,8,30,1
3rd st convenience,cedar rapids,52401,POINT (-91.666081 41.977896),linn,american vodka,laird & company,five o'clock vodka,24,375,1.93,2.9,3,69.6,1.12,0.29,2016,8,30,1
logan convenience store,waterloo,50703,POINT (-92.337744 42.510453),black hawk,american cordials & liqueurs,sazerac company  inc,fireball cinnamon,48,100,0.89,1.34,1,64.32,0.1,0.02,2016,8,30,1
hy-vee,council bluffs,51503,POINT (-95.825137 41.242732),pottawattamie,miscellaneous schnapps,sazerac company  inc,99 peppermint mini,10,600,5.94,8.91,6,53.46,3.6,0.95,2016,8,1,0
cozy mart,davenport,52804,POINT (-90.619947 41.538161),scott,american vodka,mccormick distilling co,mccormick vodka pet,24,375,1.8,2.7,1,64.8,0.37,0.09,2016,8,31,2
hy-vee,waukee,50263,POINT (-93.854477 41.615059),dallas,decanters & specialty packages,pernod ricard usa,the glenlivet w/50ml 15yr & 18yr,6,850,22.48,33.72,12,404.64,10.2,2.69,2015,12,23,2
costco wholesale,west des moines,50266,POINT (-93.806489 41.561342),dallas,single malt scotch,pernod ricard usa,glenlivet 12 yr malt scotch,12,750,22.98,34.47,60,2068.2,45.0,11.89,2015,12,7,0
hy-vee,council bluffs,51503,POINT (-95.825137 41.242732),pottawattamie,miscellaneous schnapps,sazerac company  inc,99 peppermint mini,10,600,5.94,8.91,3,26.73,1.8,0.48,2015,12,1,1
hy-vee,council bluffs,51501,POINT (-95.855054 41.261673),pottawattamie,miscellaneous schnapps,sazerac company  inc,99 bananas,48,100,0.89,1.34,3,4.02,0.3,0.08,2015,12,8,1
bottle boutique,indianola,50125,POINT (-93.55261600000001 41.358176),warren,decanters & specialty packages,diageo americas,captain morgan original spiced 1.75l w/cm white 200ml,6,1950,18.0,27.0,6,162.0,11.7,3.09,2014,9,8,0
"liquor barn, inc.",hampton,50441,POINT (-93.21693 42.741728),franklin,aged dark rum,bacardi usa inc,bacardi black,6,1750,15.0,22.5,30,675.0,52.5,13.87,2017,7,21,4
fareway stores,charles city,50616,POINT (-92.674449 43.052712),floyd,decanters & specialty packages,prestige wine & spirits group,kinky vodka martini pack,6,3600,10.0,15.0,12,180.0,43.2,11.41,2015,7,21,1
hy-vee,johnston,50131,POINT (-93.697731 41.665172),polk,decanters & specialty packages,brown-forman corporation,jack daniel's w/billboard,12,750,13.54,20.31,96,1949.76,72.0,19.02,2012,10,26,4
casey's general store,riceville,50466,POINT (-92.55645 43.363838),howard,temporary &  specialty packages,sazerac company  inc,dr. mcgillicuddy''s grape football pet mini,12,50,5.0,7.5,2,15.0,0.1,0.02,2020,11,23,0
cyclone liquors,ames,50010,POINT (-93.618911 42.022854),story,single malt scotch,jim beam brands,auchentoshan three wood sing malt scotch,6,750,28.54,42.81,18,770.58,13.5,3.57,2012,2,23,3
central city,des moines,50314,POINT (-93.619787 41.60566),polk,mezcal,mhw ltd,banhez mezcal,12,1000,20.5,30.75,2,61.5,2.0,0.52,2020,8,17,0
lot-a-spirits,bettendorf,52722,POINT (-90.48065 41.529655),scott,straight rye whiskies,mississippi river distilling co,cody road rye,6,750,19.17,28.76,24,690.24,18.0,4.75,2020,10,28,2
hy-vee,johnston,50131,POINT (-93.697731 41.665172),polk,decanters & specialty packages,"moet hennessy usa, inc.",ardbeg 10yr exploration pack,6,850,25.98,38.97,6,233.82,5.1,1.35,2014,11,20,3
keokuk spirits,keokuk,52632,POINT (-91.387797 40.400038),lee,miscellaneous schnapps,jim beam brands,dekuyper cranberry crush,12,1000,7.62,11.43,4,45.72,4.0,1.06,2013,12,9,0
bootleggin' barzini's fin,coralville,52241,POINT (-91.565517 41.672672),johnson,decanters & specialty packages,luxco inc,el mayor 50ml trial pack,20,150,3.0,4.5,1,4.5,0.15,0.04,2015,2,4,2
smokin' joe's,north liberty,52317,POINT (-91.60759 41.739524),johnson,american vodka,laird & company,five o'clock vodka,48,200,1.13,1.7,1,81.6,0.2,0.05,2016,8,31,2
hy-vee,pleasant hill,50317,POINT (-93.519187 41.598109),polk,american distilled spirit specialty,dunkel corporation,saints n sinners apple pie,12,750,8.0,12.0,60,720.0,45.0,11.88,2020,10,1,3
north side liquor & grocery,mason city,50401,POINT (-93.201061 43.163663),cerro gordo,decanters & specialty packages,prestige wine & spirits group,kinky vodka martini pack,6,3600,10.0,15.0,2,30.0,7.2,1.9,2015,12,23,2
cork and bottle,oskaloosa,52577,POINT (-92.648153 41.296228),mahaska,straight rye whiskies,diageo americas,bulleit 95 rye,12,1000,20.49,30.74,2,59.98,2.0,0.52,2019,7,17,2
central city,des moines,50314,POINT (-93.613739 41.60572),polk,straight rye whiskies,jim beam brands,old overholt rye,12,750,11.54,17.31,24,415.44,18.0,4.75,2019,7,1,0
sonny's super market,west point,52656,POINT (-91.452491 40.717867),lee,tropical fruit schnapps,sazerac company  inc,maui blue hawaiian schnapps,12,1000,4.54,6.81,4,27.24,4.0,1.06,2015,12,26,5
target,waterloo,50702,POINT (-92.325387 42.464521),black hawk,decanters & specialty packages,heaven hill brands,christian brothers holiday nog,12,750,4.46,6.69,108,722.52,81.0,21.4,2013,10,14,0
hillstreet news and tobacco,cedar falls,50613,POINT (-92.455796 42.517182),black hawk,grape schnapps,jim beam brands,dekuyper grape pucker schnapps,12,750,6.3,9.45,132,1247.4,99.0,26.15,2012,1,12,3
"elliott's general store,",moravia,52571,POINT (-92.834054 40.892417),appanoose,tropical fruit schnapps,sazerac company  inc,maui blue hawaiian schnapps,12,1000,4.54,6.81,4,27.24,4.0,1.06,2012,7,25,2
liberty view wine & spirits,north liberty,52317,POINT (-91.62235 41.752253),johnson,temporary &  specialty packages,jim beam brands,jim beam 50ml holiday 4pk,12,50,2.0,3.0,12,36.0,0.6,0.15,2020,10,20,1
happy's wine & spirits,cedar falls,50613,POINT (-92.429331 42.512766),black hawk,flavored gin,caledonia spirits,barr hill gin mini,12,50,24.57,36.86,12,442.32,0.6,0.15,2020,10,22,3
iowa distilling company,cumming,50061,POINT (-93.762456 41.483192),warren,american distilled spirit specialty,dunkel corporation,saints n sinners apple pie,12,750,8.0,12.0,72,864.0,54.0,14.26,2020,11,30,0
sam's club,dubuque,52002,POINT (-90.737821 42.515289),dubuque,special order items,sazerac company  inc,members mark spiced rum,6,1750,9.06,13.59,288,3913.92,504.0,133.14,2019,11,23,5
